question,reponse

JE SUIS BIJOUTIER,Entendu.

JE SUIS À LA RETRAITE,Entendu.

JE SUIS BOUCHER,Entendu.

JE SUIS BOUCHÈRE,Entendu.

JE SUIS BOULANGER,Entendu.

JE SUIS BOULANGÈRE,Entendu.

JE SUIS CADRE,Entendu.

JE SUIS CADRE SUPÉRIEUR,Entendu.

JE SUIS CAISSIER,Entendu.

JE SUIS AU CHÔMAGE,Entendu.

JE SUIS TIMIDE,Entendu.

JE SUIS MAROCAIN,Entendu.

JE SUIS OBSTINÉ,Entendu.

JE SUIS OBSTINÉE,Entendu.

JE SUIS PASSIONNÉE,Entendu.

JE SUIS PASSIONNÉ,Entendu.

JE SUIS PERFECTIONNISTE,Entendu.

JE SUIS SOUPLE,Entendu.

JE SUIS AMBULANCIÈRE,Entendu.

JE SUIS TÊTUE,Entendu.

JE SUIS FLEXIBLE,Entendu.

JE SUIS UN BON PÈRE,Entendu.

JE SUIS UNE BONNE MÈRE,Entendu.

JE SUIS UNE BONNE PERSONNE,Entendu.

JE SUIS ZEN,Entendu.

JE SUIS CULTIVÉ,Entendu.

JE SUIS CULTIVÉE,Entendu.

JE SUIS ENCEINTE,Entendu.

JE SUIS TÊTU,Entendu.

JE SUIS ALTRUISTE,Entendu.

JE SUIS DIVORCÉ,Entendu.

JE SUIS DIVORCÉE,Entendu.

JE SUIS FIANCÉ,Entendu.

JE SUIS FIANCÉE,Entendu.

JE SUIS MARIÉ,Entendu.

JE SUIS MARIÉE,Entendu.

JE SUIS CROYANTE,Entendu.

JE SUIS PACSÉE,Entendu.

JE SUIS UN TRÈS BON COUP,Entendu.

JE SUIS ANARCHISTE,Entendu.

JE SUIS ANTI GILETS JAUNES,Entendu.

JE SUIS ANTICONFORMISTE,Entendu.

JE SUIS CENTRISTE,Entendu.

JE SUIS COMMUNISTE,Entendu.

JE SUIS CONSERVATEUR,Entendu.

JE SUIS CONSERVATRICE,Entendu.

JE SUIS PACSÉ,Entendu.

JE SUIS UN GARÇON,Entendu.

JE SUIS LUXEMBOURGEOIS,Entendu.

JE SUIS JUIVE,Entendu.

JE SUIS MUSULMAN,Entendu.

JE SUIS MUSULMANE,Entendu.

JE SUIS NON-CROYANT,Entendu.

JE SUIS NON-CROYANTE,Entendu.

JE SUIS ORTHODOXE,Entendu.

JE SUIS CÉLIBATAIRE,Entendu.

JE SUIS PROTESTANTE,Entendu.

JE SUIS VIERGE,Entendu.

JE SUIS UN HOMME,Entendu.

JE SUIS UNE FEMME,Entendu.

JE SUIS UNE FILLE,Entendu.

JE SUIS PUCEAU,Entendu.

JE SUIS PUCELLE,Entendu.

JE SUIS UN BON COUP,Entendu.

JE SUIS DE GAUCHE,Entendu.

JE SUIS PROTESTANT,Entendu.

J'AI LES YEUX GRIS BLEU,Entendu.

JE SUIS CONTRE LES GILETS JAUNES,Entendu.

JE SUIS BLONDE,Entendu.

JE SUIS CHÂTAIN,Entendu.

JE SUIS CHÂTAIN CLAIR,Entendu.

J'AI LES YEUX BLEUS,Entendu.

J'AI LES YEUX VERTS,Entendu.

J'AI LES YEUX MARRONS,Entendu.

JE SUIS BRUNE,Entendu.

J'AI LES YEUX GRIS VERT,Entendu.

JE SUIS BRUN,Entendu.

J'AI LES YEUX NOIRS,Entendu.

JE SUIS CHÂTAIN FONCÉ,Entendu.

JE SUIS ROUX,Entendu.

JE SUIS ROUSSE,Entendu.

JE SUIS BLOND VÉNITIEN,Entendu.

JE SUIS BLONDE VÉNITIENNE,Entendu.

JE SUIS AUBURN,Entendu.

J'AI LES YEUX NOISETTE,Entendu.

JE SUIS POUR L'ÉGALITÉ DES SEXES,Entendu.

JE SUIS CROYANT,Entendu.

JE SUIS FÉMINISTE,Entendu.

JE SUIS GILET JAUNE,Entendu.

JE SUIS MARXISTE,Entendu.

JE SUIS MISANTHROPE,Entendu.

JE SUIS PHILANTHROPE,Entendu.

JE SUIS POUR LA PARITÉ,Entendu.

JE SUIS BLOND,Entendu.

JE SUIS POUR L'ÉGALITÉ DES CHANCES,Entendu.

JE SUIS DE DROITE,Entendu.

JE SUIS SOCIALISTE,Entendu.

JE SUIS TROTSKYSTE,Entendu.

JE SUIS GRAND,Entendu.

JE SUIS GRANDE,Entendu.

JE SUIS PETIT,Entendu.

JE SUIS PETITE,Entendu.

JE SUIS DE TAILLE MOYENNE,Entendu.

JE SUIS POUR LA PARITÉ HOMME-FEMME,Entendu.

JE SUIS PANSEXUELLE,Entendu.

JE SUIS HÉTÉRO,Entendu.

JE SUIS HÉTÉROSEXUEL,Entendu.

JE SUIS HÉTÉROSEXUELLE,Entendu.

JE SUIS HOMO,Entendu.

JE SUIS HOMOSEXUEL,Entendu.

JE SUIS HOMOSEXUELLE,Entendu.

JE SUIS JUIF,Entendu.

JE SUIS PANSEXUEL,Entendu.

JE SUIS VIETNAMIEN,Entendu.

JE SUIS TRANSSEXUEL,Entendu.

JE SUIS TRANSSEXUELLE,Entendu.

JE SUIS ANGLOPHILE,Entendu.

JE SUIS BRICOLEUR,Entendu.

JE SUIS BRICOLEUSE,Entendu.

JE SUIS CHANTEUR AMATEUR,Entendu.

JE SUIS CHANTEUSE AMATRICE,Entendu.

JE SUIS LESBIENNE,Entendu.

JE SUIS SÉNÉGALAIS,Entendu.

JE SUIS MAROCAINE,Entendu.

JE SUIS POLONAIS,Entendu.

JE SUIS POLONAISE,Entendu.

JE SUIS PORTUGAIS,Entendu.

JE SUIS PORTUGAISE,Entendu.

JE SUIS ROM,Entendu.

JE SUIS ROUMAIN,Entendu.

JE SUIS GAY,Entendu.

JE SUIS RUSSE,Entendu.

JE SUIS VIETNAMIENNE,Entendu.

JE SUIS SÉNÉGALAISE,Entendu.

JE SUIS SERBE,Entendu.

JE SUIS TUNISIEN,Entendu.

JE SUIS TUNISIENNE,Entendu.

JE SUIS TURC,Entendu.

JE SUIS TURQUE,Entendu.

JE SUIS FAN DE FOOT,Entendu.

JE SUIS ROUMAINE,Entendu.

JE SUIS NOIRE,Entendu.

JE SUIS FAN DE BASKET,Entendu.

JE SUIS PASSIONNÉ D'ÉQUITATION,Entendu.

JE SUIS PASSIONNÉE DE CHEVAL,Entendu.

JE SUIS PASSIONNÉE DE FOOT,Entendu.

JE SUIS PASSIONNÉE D'ÉQUITATION,Entendu.

JE SUIS ASIATIQUE,Entendu.

JE SUIS BLANC,Entendu.

JE SUIS PASSIONNÉ DE CHEVAL,Entendu.

JE SUIS NOIR,Entendu.

JE SUIS MUSICIENNE,Entendu.

JE SUIS ANTICLÉRICAL,Entendu.

JE SUIS ANTICLÉRICALE,Entendu.

JE SUIS ATHÉE,Entendu.

JE SUIS BOUDDHISTE,Entendu.

JE SUIS CATHOLIQUE,Entendu.

JE SUIS CHRÉTIEN,Entendu.

JE SUIS CHRÉTIENNE,Entendu.

JE SUIS BLANCHE,Entendu.

JE SUIS FAN DE TENNIS,Entendu.

JE SUIS EN RETARD,Entendu.

JE SUIS FAN DE HIP HOP,Entendu.

JE SUIS FAN DE JAZZ,Entendu.

JE SUIS FAN DE JEUX VIDÉOS,Entendu.

JE SUIS FAN DE ROCK,Entendu.

JE SUIS FAN DE RUGBY,Entendu.

JE SUIS FAN DE SÉRIES,Entendu.

JE SUIS PASSIONNÉ DE FOOT,Entendu.

JE SUIS FAN DE TECHNO,Entendu.

JE SUIS FAN DE DANSE,Entendu.

JE SUIS FAN DE TUNING,Entendu.

JE SUIS FAN DE VÉLO,Entendu.

JE SUIS FAN DE YOGA,Entendu.

JE SUIS FAN D'ÉQUITATION,Entendu.

JE SUIS GERMANOPHILE,Entendu.

JE SUIS MÉLOMANE,Entendu.

JE SUIS MUSICIEN,Entendu.

JE SUIS FAN DE STAR WARS,Entendu.

TU AS VU QUE JE TE METTAIS EN BOÎTE ,Bon à savoir. 

JE DÉCONNE ,Bon à savoir. 

T'AS VU QUE JE BADINAIS ,Bon à savoir. 

T'AS VU QUE JE TE METTAIS EN BOÎTE ,Bon à savoir. 

T'AS VU QUE JE M'AMUSAIS ,Bon à savoir. 

T'AS VU QUE JE RIGOLAIS ,Bon à savoir. 

T'AS VU QUE JE BLAGUAIS ,Bon à savoir. 

T'AS VU QUE JE TE TAQUINAIS ,Bon à savoir. 

T'AS VU QUE JE TAQUINAIS ,Bon à savoir. 

T'AS VU QUE JE DÉCONNAIS ,Bon à savoir. 

TU AS VU QUE JE PLAISANTAIS ,Bon à savoir. 

T'AS VU QUE JE PLAISANTAIS ,Bon à savoir. 

TU AS VU QUE JE BADINAIS ,Bon à savoir. 

T'AS COMPRIS QUE JE DÉCONNAIS ,Bon à savoir. 

TU AS VU QUE JE M'AMUSAIS ,Bon à savoir. 

TU AS VU QUE JE RIGOLAIS ,Bon à savoir. 

TU AS VU QUE JE BLAGUAIS ,Bon à savoir. 

TU AS VU QUE JE TE TAQUINAIS ,Bon à savoir. 

TU AS VU QUE JE TAQUINAIS ,Bon à savoir. 

TU AS VU QUE JE DÉCONNAIS ,Bon à savoir. 

TU AS COMPRIS QUE JE PLAISANTAIS ,Bon à savoir. 

TU AS COMPRIS QUE JE RIAIS ,Bon à savoir. 

TU AS COMPRIS QUE JE BADINAIS ,Bon à savoir. 

TU AS COMPRIS QUE JE TE METTAIS EN BOÎTE ,Bon à savoir. 

TU AS VU QUE JE RIAIS ,Bon à savoir. 

TU AS PAS COMPRIS QUE JE TAQUINAIS ,Bon à savoir. 

TU AS PAS VU QUE JE BLAGUAIS ,Bon à savoir. 

TU AS PAS VU QUE JE TE TAQUINAIS ,Bon à savoir. 

TU AS PAS VU QUE JE TAQUINAIS ,Bon à savoir. 

TU AS PAS VU QUE JE DÉCONNAIS ,Bon à savoir. 

TU AS PAS COMPRIS QUE JE PLAISANTAIS ,Bon à savoir. 

TU AS PAS COMPRIS QUE JE RIAIS ,Bon à savoir. 

TU AS PAS COMPRIS QUE JE BADINAIS ,Bon à savoir. 

TU AS PAS COMPRIS QUE JE TE METTAIS EN BOÎTE ,Bon à savoir. 

TU AS PAS COMPRIS QUE JE M'AMUSAIS ,Bon à savoir. 

TU AS PAS COMPRIS QUE JE RIGOLAIS ,Bon à savoir. 

T'AS VU QUE JE RIAIS ,Bon à savoir. 

TU AS PAS COMPRIS QUE JE TE TAQUINAIS ,Bon à savoir. 

TU AS COMPRIS QUE JE BLAGUAIS ,Bon à savoir. 

TU AS PAS COMPRIS QUE JE DÉCONNAIS ,Bon à savoir. 

T'AS COMPRIS QUE JE PLAISANTAIS ,Bon à savoir. 

T'AS COMPRIS QUE JE RIAIS ,Bon à savoir. 

T'AS COMPRIS QUE JE BADINAIS ,Bon à savoir. 

T'AS COMPRIS QUE JE TE METTAIS EN BOÎTE ,Bon à savoir. 

T'AS COMPRIS QUE JE M'AMUSAIS ,Bon à savoir. 

T'AS COMPRIS QUE JE RIGOLAIS ,Bon à savoir. 

T'AS COMPRIS QUE JE BLAGUAIS ,Bon à savoir. 

T'AS COMPRIS QUE JE TE TAQUINAIS ,Bon à savoir. 

T'AS COMPRIS QUE JE TAQUINAIS ,Bon à savoir. 

TU AS PAS COMPRIS QUE JE BLAGUAIS ,Bon à savoir. 

JE FAIS UNE BOUTADE ,Bon à savoir. 

C'ÉTAIT UN CANULAR ,Bon à savoir. 

C'ÉTAIT UNE PLAISANTERIE ,Bon à savoir. 

C'ÉTAIT UNE BOUTADE ,Bon à savoir. 

C'ÉTAIT UNE BLAGUE ,Bon à savoir. 

JE FAISAIS UNE FARCE ,Bon à savoir. 

JE FAISAIS UN CANULAR ,Bon à savoir. 

JE FAISAIS UNE PLAISANTERIE ,Bon à savoir. 

JE FAISAIS UNE BOUTADE ,Bon à savoir. 

JE FAISAIS UNE BLAGUE ,Bon à savoir. 

JE FAIS UNE FARCE ,Bon à savoir. 

TU AS COMPRIS QUE JE M'AMUSAIS ,Bon à savoir. 

JE FAIS UNE PLAISANTERIE ,Bon à savoir. 

C'ÉTAIT POUR PLAISANTER ,Bon à savoir. 

JE FAIS UNE BLAGUE ,Bon à savoir. 

JE PLAISANTE ,Bon à savoir. 

JE RIS ,Bon à savoir. 

JE BADINE ,Bon à savoir. 

JE TE METS EN BOÎTE ,Bon à savoir. 

JE M'AMUSE ,Bon à savoir. 

JE RIGOLER ,Bon à savoir. 

JE BLAGUE ,Bon à savoir. 

JE TE TAQUINE ,Bon à savoir. 

JE TAQUINE ,Bon à savoir. 

JE FAIS UN CANULAR ,Bon à savoir. 

JE TAQUINAIS ,Bon à savoir. 

TU AS PAS VU QUE JE TE METTAIS EN BOÎTE ,Bon à savoir. 

TU AS COMPRIS QUE JE TE TAQUINAIS ,Bon à savoir. 

TU AS COMPRIS QUE JE TAQUINAIS ,Bon à savoir. 

TU AS COMPRIS QUE JE DÉCONNAIS ,Bon à savoir. 

JE PLAISANTAIS ,Bon à savoir. 

JE RIAIS ,Bon à savoir. 

JE BADINAIS ,Bon à savoir. 

JE TE METTAIS EN BOÎTE ,Bon à savoir. 

JE M'AMUSAIS ,Bon à savoir. 

JE RIGOLAIS ,Bon à savoir. 

C'ÉTAIT UNE FARCE ,Bon à savoir. 

JE TE TAQUINAIS ,Bon à savoir. 

C'ÉTAIT POUR RIRE ,Bon à savoir. 

JE DÉCONNAIS ,Bon à savoir. 

MAIS C'ÉTAIT POUR RIGOLER ,Bon à savoir. 

MAIS C'ÉTAIT POUR SE MARRER ,Bon à savoir. 

MAIS C'ÉTAIT POUR BLAGUER ,Bon à savoir. 

MAIS C'ÉTAIT POUR DÉCONNER ,Bon à savoir. 

MAIS C'ÉTAIT POUR PLAISANTER ,Bon à savoir. 

C'ÉTAIT POUR RIGOLER ,Bon à savoir. 

C'ÉTAIT POUR SE MARRER ,Bon à savoir. 

C'ÉTAIT POUR BLAGUER ,Bon à savoir. 

C'ÉTAIT POUR DÉCONNER ,Bon à savoir. 

TU AS COMPRIS QUE JE RIGOLAIS ,Bon à savoir. 

JE BLAGUAIS ,Bon à savoir. 

MAIS T'AS PAS VU LA PLAISANTERIE ,Bon à savoir. 

JE SUIS UN FARCEUR ,Bon à savoir. 

JE SUIS UN BLAGUEUR ,Bon à savoir. 

MAIS T'AS COMPRIS LA VANNE ,Bon à savoir. 

MAIS T'AS COMPRIS LA FARCE ,Bon à savoir. 

MAIS T'AS COMPRIS LA PLAISANTERIE ,Bon à savoir. 

MAIS T'AS COMPRIS LA BLAGUE ,Bon à savoir. 

MAIS T'AS PAS COMPRIS LA VANNE ,Bon à savoir. 

MAIS T'AS PAS COMPRIS LA FARCE ,Bon à savoir. 

MAIS T'AS PAS COMPRIS LA PLAISANTERIE ,Bon à savoir. 

MAIS T'AS PAS COMPRIS LA BLAGUE ,Bon à savoir. 

AVOUE T'AS PAS COMPRIS LA FARCE ,Bon à savoir. 

MAIS T'AS PAS VU LA FARCE ,Bon à savoir. 

JE SUIS UNE BLAGUEUSE ,Bon à savoir. 

MAIS T'AS PAS VU LA BLAGUE ,Bon à savoir. 

MAIS T'AS VU LA VANNE ,Bon à savoir. 

MAIS T'AS VU LA FARCE ,Bon à savoir. 

MAIS T'AS VU LA PLAISANTERIE ,Bon à savoir. 

MAIS T'AS VU LA BLAGUE ,Bon à savoir. 

AVOUE T'AS COMPRIS LA VANNE ,Bon à savoir. 

AVOUE T'AS COMPRIS LA FARCE ,Bon à savoir. 

AVOUE T'AS COMPRIS LA PLAISANTERIE ,Bon à savoir. 

AVOUE T'AS COMPRIS LA BLAGUE ,Bon à savoir. 

TU AS PAS VU QUE JE RIGOLAIS ,Bon à savoir. 

MAIS T'AS PAS VU LA VANNE ,Bon à savoir. 

JE SUIS PARFOIS DRÔLE ,Bon à savoir. 

JE PEUX ÊTRE MARRANT ,Bon à savoir. 

JE PEUX ÊTRE FARCEUR ,Bon à savoir. 

JE PEUX ÊTRE DRÔLE ,Bon à savoir. 

JE PEUX ÊTRE COMIQUE ,Bon à savoir. 

JE PEUX ÊTRE DES BARRES PARFOIS ,Bon à savoir. 

JE PEUX ÊTRE MARRANT PARFOIS ,Bon à savoir. 

JE PEUX ÊTRE FARCEUR PARFOIS ,Bon à savoir. 

JE PEUX ÊTRE DRÔLE PARFOIS ,Bon à savoir. 

JE PEUX ÊTRE COMIQUE PARFOIS ,Bon à savoir. 

JE SUIS PARFOIS DES BARRES ,Bon à savoir. 

JE SUIS UN PLAISANTIN ,Bon à savoir. 

JE SUIS PARFOIS FARCEUR ,Bon à savoir. 

JE SUIS UN COMIQUE ,Bon à savoir. 

JE SUIS PARFOIS COMIQUE ,Bon à savoir. 

JE SUIS DES BARRES ,Bon à savoir. 

JE SUIS MARRANT ,Bon à savoir. 

JE SUIS FARCEUR ,Bon à savoir. 

JE SUIS DRÔLE ,Bon à savoir. 

JE SUIS COMIQUE ,Bon à savoir. 

JE SUIS UN TRUBLION ,Bon à savoir. 

JE SUIS UNE TRUBLIONNE ,Bon à savoir. 

JE SUIS UNE COMIQUE ,Bon à savoir. 

JE SUIS UNE FARCEUSE ,Bon à savoir. 

AVOUE T'AS PAS COMPRIS LA PLAISANTERIE ,Bon à savoir. 

JE SUIS PARFOIS MARRANT ,Bon à savoir. 

T'AS PAS VU QUE JE TE METTAIS EN BOÎTE ,Bon à savoir. 

T'AS PAS COMPRIS QUE JE RIAIS ,Bon à savoir. 

T'AS PAS COMPRIS QUE JE BADINAIS ,Bon à savoir. 

T'AS PAS COMPRIS QUE JE TE METTAIS EN BOÎTE ,Bon à savoir. 

T'AS PAS COMPRIS QUE JE M'AMUSAIS ,Bon à savoir. 

T'AS PAS COMPRIS QUE JE RIGOLAIS ,Bon à savoir. 

T'AS PAS COMPRIS QUE JE BLAGUAIS ,Bon à savoir. 

T'AS PAS COMPRIS QUE JE TE TAQUINAIS ,Bon à savoir. 

T'AS PAS COMPRIS QUE JE TAQUINAIS ,Bon à savoir. 

T'AS PAS COMPRIS QUE JE DÉCONNAIS ,Bon à savoir. 

T'AS PAS VU QUE JE PLAISANTAIS ,Bon à savoir. 

AVOUE T'AS PAS COMPRIS LA VANNE ,Bon à savoir. 

T'AS PAS VU QUE JE BADINAIS ,Bon à savoir. 

T'AS VU LA PLAISANTERIE ,Bon à savoir. 

T'AS PAS VU QUE JE M'AMUSAIS ,Bon à savoir. 

T'AS PAS VU QUE JE RIGOLAIS ,Bon à savoir. 

T'AS PAS VU QUE JE BLAGUAIS ,Bon à savoir. 

T'AS PAS VU QUE JE TE TAQUINAIS ,Bon à savoir. 

T'AS PAS VU QUE JE TAQUINAIS ,Bon à savoir. 

T'AS PAS VU QUE JE DÉCONNAIS ,Bon à savoir. 

TU AS PAS VU QUE JE PLAISANTAIS ,Bon à savoir. 

TU AS PAS VU QUE JE RIAIS ,Bon à savoir. 

TU AS PAS VU QUE JE BADINAIS ,Bon à savoir. 

JE PEUX ÊTRE DES BARRES ,Bon à savoir. 

T'AS PAS VU QUE JE RIAIS ,Bon à savoir. 

T'AS COMPRIS LA BLAGUE ,Bon à savoir. 

AVOUE T'AS PAS COMPRIS LA BLAGUE ,Bon à savoir. 

AVOUE T'AS PAS VU LA VANNE ,Bon à savoir. 

AVOUE T'AS PAS VU LA FARCE ,Bon à savoir. 

AVOUE T'AS PAS VU LA PLAISANTERIE ,Bon à savoir. 

AVOUE T'AS PAS VU LA BLAGUE ,Bon à savoir. 

AVOUE T'AS VU LA VANNE ,Bon à savoir. 

AVOUE T'AS VU LA FARCE ,Bon à savoir. 

AVOUE T'AS VU LA PLAISANTERIE ,Bon à savoir. 

AVOUE T'AS VU LA BLAGUE ,Bon à savoir. 

T'AS COMPRIS LA VANNE ,Bon à savoir. 

T'AS PAS COMPRIS QUE JE PLAISANTAIS ,Bon à savoir. 

T'AS COMPRIS LA PLAISANTERIE ,Bon à savoir. 

T'AS VU LA BLAGUE ,Bon à savoir. 

T'AS PAS COMPRIS LA VANNE ,Bon à savoir. 

T'AS PAS COMPRIS LA FARCE ,Bon à savoir. 

T'AS PAS COMPRIS LA PLAISANTERIE ,Bon à savoir. 

T'AS PAS COMPRIS LA BLAGUE ,Bon à savoir. 

T'AS PAS VU LA VANNE ,Bon à savoir. 

T'AS PAS VU LA FARCE ,Bon à savoir. 

T'AS PAS VU LA PLAISANTERIE ,Bon à savoir. 

T'AS PAS VU LA BLAGUE ,Bon à savoir. 

T'AS VU LA VANNE ,Bon à savoir. 

T'AS VU LA FARCE ,Bon à savoir. 

TU AS PAS VU QUE JE M'AMUSAIS ,Bon à savoir. 

T'AS COMPRIS LA FARCE ,Bon à savoir. 

"JE SUIS PAR MOMENTS SEUL,""Je suis là pour vous, si vous le souhaitez."""

"JE SUIS PARFOIS TRÈS SEUL,""Je suis là pour vous, si vous le souhaitez."""

"JE SUIS PARFOIS TOUT SEUL,""Je suis là pour vous, si vous le souhaitez."""

"JE SUIS PARFOIS SUPER SEUL,""Je suis là pour vous, si vous le souhaitez."""

"JE SUIS PARFOIS HYPER SEUL,""Je suis là pour vous, si vous le souhaitez."""

"JE SUIS PARFOIS VRAIMENT TRÈS SEUL,""Je suis là pour vous, si vous le souhaitez."""

"JE SUIS PARFOIS VRAIMENT TOUT SEUL,""Je suis là pour vous, si vous le souhaitez."""

"JE SUIS PAR MOMENTS VRAIMENT SUPER SEUL,""Je suis là pour vous, si vous le souhaitez."""

"JE SUIS PARFOIS VRAIMENT HYPER SEUL,""Je suis là pour vous, si vous le souhaitez."""

"JE SUIS VRAIMENT HYPER SEUL,""Je suis là pour vous, si vous le souhaitez."""

"JE SUIS PAR MOMENTS VRAIMENT SEUL,""Je suis là pour vous, si vous le souhaitez."""

"JE SUIS PAR MOMENTS TRÈS SEUL,""Je suis là pour vous, si vous le souhaitez."""

"JE SUIS PAR MOMENTS TOUT SEUL,""Je suis là pour vous, si vous le souhaitez."""

"JE SUIS PAR MOMENTS SUPER SEUL,""Je suis là pour vous, si vous le souhaitez."""

"JE SUIS PAR MOMENTS HYPER SEUL,""Je suis là pour vous, si vous le souhaitez."""

"JE SUIS PAR MOMENTS VRAIMENT TRÈS SEUL,""Je suis là pour vous, si vous le souhaitez."""

"JE ME SENS TRÈS SOUVENT SEUL,""Je suis là pour vous, si vous le souhaitez."""

"JE SUIS PARFOIS VRAIMENT SUPER SEUL,""Je suis là pour vous, si vous le souhaitez."""

"JE SUIS TRÈS SEUL,""Je suis là pour vous, si vous le souhaitez."""

"JE ME SENS PARFOIS VRAIMENT TOUTE SEULE,""Je suis là pour vous, si vous le souhaitez."""

"JE ME SENS TRÈS SOUVENT TRÈS SEUL,""Je suis là pour vous, si vous le souhaitez."""

"JE ME SENS TRÈS SOUVENT TOUT SEUL,""Je suis là pour vous, si vous le souhaitez."""

"JE ME SENS TRÈS SOUVENT SUPER SEUL,""Je suis là pour vous, si vous le souhaitez."""

"JE ME SENS TRÈS SOUVENT HYPER SEUL,""Je suis là pour vous, si vous le souhaitez."""

"JE ME SENS TRÈS SOUVENT VRAIMENT TRÈS SEUL,""Je suis là pour vous, si vous le souhaitez."""

"JE ME SENS TRÈS SOUVENT VRAIMENT TOUT SEUL,""Je suis là pour vous, si vous le souhaitez."""

"JE SUIS PARFOIS VRAIMENT SEUL,""Je suis là pour vous, si vous le souhaitez."""

"JE SUIS VRAIMENT SEUL,""Je suis là pour vous, si vous le souhaitez."""

"JE SUIS PARFOIS SEUL,""Je suis là pour vous, si vous le souhaitez."""

"JE SUIS TOUT SEUL,""Je suis là pour vous, si vous le souhaitez."""

"JE SUIS SUPER SEUL,""Je suis là pour vous, si vous le souhaitez."""

"JE SUIS HYPER SEUL,""Je suis là pour vous, si vous le souhaitez."""

"JE SUIS VRAIMENT TRÈS SEUL,""Je suis là pour vous, si vous le souhaitez."""

"JE SUIS VRAIMENT TOUT SEUL,""Je suis là pour vous, si vous le souhaitez."""

"JE SUIS VRAIMENT SUPER SEUL,""Je suis là pour vous, si vous le souhaitez."""

"JE SUIS PAR MOMENTS VRAIMENT HYPER SEUL,""Je suis là pour vous, si vous le souhaitez."""

"JE SUIS SEUL,""Je suis là pour vous, si vous le souhaitez."""

"JE ME SENS VRAIMENT HYPER SEULE,""Je suis là pour vous, si vous le souhaitez."""

"JE ME SENS VRAIMENT SEULE,""Je suis là pour vous, si vous le souhaitez."""

"JE ME SENS TRÈS SEULE,""Je suis là pour vous, si vous le souhaitez."""

"JE ME SENS TOUTE SEULE,""Je suis là pour vous, si vous le souhaitez."""

"JE ME SENS SUPER SEULE,""Je suis là pour vous, si vous le souhaitez."""

"JE ME SENS HYPER SEULE,""Je suis là pour vous, si vous le souhaitez."""

"JE ME SENS VRAIMENT TRÈS SEULE,""Je suis là pour vous, si vous le souhaitez."""

"JE SUIS PAR MOMENTS VRAIMENT TOUT SEUL,""Je suis là pour vous, si vous le souhaitez."""

"JE ME SENS VRAIMENT SUPER SEULE,""Je suis là pour vous, si vous le souhaitez."""

"JE SUIS TRÈS SOUVENT VRAIMENT TRÈS SEUL,""Je suis là pour vous, si vous le souhaitez."""

"JE ME SENS PARFOIS SEULE,""Je suis là pour vous, si vous le souhaitez."""

"JE ME SENS PARFOIS VRAIMENT SEULE,""Je suis là pour vous, si vous le souhaitez."""

"JE ME SENS PARFOIS TRÈS SEULE,""Je suis là pour vous, si vous le souhaitez."""

"JE ME SENS PARFOIS TOUTE SEULE,""Je suis là pour vous, si vous le souhaitez."""

"JE ME SENS PARFOIS SUPER SEULE,""Je suis là pour vous, si vous le souhaitez."""

"JE ME SENS PARFOIS HYPER SEULE,""Je suis là pour vous, si vous le souhaitez."""

"JE NE SUIS PAS POPULAIRE ,""Je suis là pour vous, si vous le souhaitez."""

"JE ME SENS VRAIMENT TOUTE SEULE,""Je suis là pour vous, si vous le souhaitez."""

"JE SUIS SOUVENT VRAIMENT HYPER SEUL,""Je suis là pour vous, si vous le souhaitez."""

"JE SUIS SOUVENT SEUL,""Je suis là pour vous, si vous le souhaitez."""

"JE SUIS SOUVENT VRAIMENT SEUL,""Je suis là pour vous, si vous le souhaitez."""

"JE SUIS SOUVENT TRÈS SEUL,""Je suis là pour vous, si vous le souhaitez."""

"JE SUIS SOUVENT TOUT SEUL,""Je suis là pour vous, si vous le souhaitez."""

"JE SUIS SOUVENT SUPER SEUL,""Je suis là pour vous, si vous le souhaitez."""

"JE SUIS SOUVENT HYPER SEUL,""Je suis là pour vous, si vous le souhaitez."""

"JE SUIS SOUVENT VRAIMENT TRÈS SEUL,""Je suis là pour vous, si vous le souhaitez."""

"JE ME SENS SEULE,""Je suis là pour vous, si vous le souhaitez."""

"JE SUIS SOUVENT VRAIMENT SUPER SEUL,""Je suis là pour vous, si vous le souhaitez."""

"JE SUIS TRÈS SOUVENT VRAIMENT TOUT SEUL,""Je suis là pour vous, si vous le souhaitez."""

"JE SUIS TRÈS SOUVENT SEUL,""Je suis là pour vous, si vous le souhaitez."""

"JE SUIS TRÈS SOUVENT VRAIMENT SEUL,""Je suis là pour vous, si vous le souhaitez."""

